Action,TVL,Reserve Ratio,Swap Volume of A,Swap Volume of B,Fees collected for A,Fees collected for B,Spot Price,Slippage,Trade Lot Fraction,LP1,LP2,LP3,LP4,LP5
1,14956193372,0.25690610251196166,186000000,5692000000,558000,17076000,0.25690610251196166,0,0,1548609725,3991362655,2783904506,4515008697,1914913510
0,16143613376,0.25690610248315315,186000000,5692000000,558000,17076000,0.25690610248315315,0,0,1548609725,5162713930,2783904506,4515008697,1914913510
0,16420558154,0.2569061024756928,186000000,5692000000,558000,17076000,0.2569061024756928,0,0,1548609725,5435910960,2783904506,4515008697,1914913510
1,15591336738,0.2569061024791524,186000000,5692000000,558000,17076000,0.2569061024791524,0,0,1548609725,4617910960,2783904506,4515008697,1914913510
0,17989298298,0.2569061024714348,186000000,5692000000,558000,17076000,0.2569061024714348,0,0,1548609725,4617910960,5149415716,4515008697,1914913510
2,17705440722,0.24886249859499146,186000000,6255000000,558000,18765000,0.24886249859499146,-1.8731904130720616,0.016080464428954215,1548609725,4617910960,5149415716,4515008697,1914913510
1,17604670760,0.24886249860027812,186000000,6255000000,558000,18765000,0.24886249860027812,0,0,1548609725,4617910960,5149415716,4414008697,1914913510
2,17502546648,0.24598358688920713,186000000,6462000000,558000,19386000,0.24598358688920713,-0.8783563529082317,0.005852371556678584,1548609725,4617910960,5149415716,4414008697,1914913510
0,17918750876,0.24598358687525237,186000000,6462000000,558000,19386000,0.24598358687525237,0,0,1548609725,4617910960,5149415716,4414008697,2334501864
2,16993095904,0.22122575394336721,186000000,8452000000,558000,25356000,0.22122575394336721,-5.450347689823013,0.054636323845250634,1548609725,4617910960,5149415716,4414008697,2334501864
2,17110741908,0.224299522010425,245000000,8452000000,735000,25356000,0.224299522010425,-0.9854936118947539,0.0069439965893574465,1548609725,4617910960,5149415716,4414008697,2334501864
0,17680911292,0.22429952199836697,245000000,8452000000,735000,25356000,0.22429952199836697,0,0,1548609725,4617910960,5149415716,5015957732,2334501864
1,17630709406,0.224299522003632,245000000,8452000000,735000,25356000,0.224299522003632,0,0,1495609725,4617910960,5149415716,5015957732,2334501864
0,18990413108,0.2242995219990727,245000000,8452000000,735000,25356000,0.2242995219990727,0,0,1495609725,6053400755,5149415716,5015957732,2334501864
2,18446490426,0.21163477221450924,245000000,9704000000,735000,29112000,0.21163477221450924,-3.155603527543376,0.02957523882664122,1495609725,6053400755,5149415716,5015957732,2334501864
0,18626803250,0.2116347721926177,245000000,9704000000,735000,29112000,0.2116347721926177,0,0,1495609725,6053400755,5345391813,5015957732,2334501864
0,19287527008,0.2116347721840003,245000000,9704000000,735000,29112000,0.2116347721840003,0,0,1495609725,6053400755,5345391813,5734076726,2334501864
0,19359059560,0.211634772173088,245000000,9704000000,735000,29112000,0.211634772173088,0,0,1495609725,6053400755,5345391813,5811823112,2334501864
1,18446344576,0.21163477218789192,245000000,9704000000,735000,29112000,0.21163477218789192,0,0,1495609725,6053400755,5345391813,5811823112,1342501864
2,17625006100,0.1932079280009272,245000000,11741000000,735000,35223000,0.1932079280009272,-4.7392232614476795,0.04674097127163368,1495609725,6053400755,5345391813,5811823112,1342501864
0,18925681870,0.1932079279876329,245000000,11741000000,735000,35223000,0.1932079279876329,0,0,2975149285,6053400755,5345391813,5811823112,1342501864
2,20122081876,0.21840757424691468,845000000,11741000000,2535000,35223000,0.21840757424691468,-6.2278696974865,0.06340590570224987,2975149285,6053400755,5345391813,5811823112,1342501864
1,17865759710,0.2184075742505536,845000000,11741000000,2535000,35223000,0.2184075742505536,0,0,561149285,6053400755,5345391813,5811823112,1342501864
0,21574320320,0.21840757424271395,845000000,11741000000,2535000,35223000,0.21840757424271395,0,0,4528874039,6053400755,5345391813,5811823112,1342501864
1,20908826790,0.21840757424513674,845000000,11741000000,2535000,35223000,0.21840757424513674,0,0,4528874039,6053400755,5345391813,5811823112,630501864
0,20911884496,0.2184075742447249,845000000,11741000000,2535000,35223000,0.2184075742447249,0,0,4528874039,6053400755,5345391813,5815094498,630501864
0,20914942202,0.2184075742443132,845000000,11741000000,2535000,35223000,0.2184075742443132,0,0,4528874039,6056672141,5345391813,5815094498,630501864
2,20803182388,0.21607967165191494,845000000,11999000000,2535000,35997000,0.21607967165191494,-0.8327492436563826,0.005388411176163269,4528874039,6056672141,5345391813,5815094498,630501864
0,20819172282,0.21607967163424757,845000000,11999000000,2535000,35997000,0.21607967163424757,0,0,4528874039,6056672141,5345391813,5832293713,630501864
2,19387191914,0.18737722889580838,845000000,15568000000,2535000,46704000,0.18737722889580838,-7.157546428352785,0.07408443886401667,4528874039,6056672141,5345391813,5832293713,630501864
2,19666351916,0.19281224247652762,985000000,15568000000,2955000,46704000,0.19281224247652762,-1.7152218178712713,0.014442524798952687,4528874039,6056672141,5345391813,5832293713,630501864
0,20143755028,0.19281224247296805,985000000,15568000000,2955000,46704000,0.19281224247296805,0,0,4528874039,6056672141,5345391813,5832293713,1174112501
1,19650202234,0.19281224247225512,985000000,15568000000,2955000,46704000,0.19281224247225512,0,0,4528874039,6056672141,4783391813,5832293713,1174112501
1,16284909872,0.1928122424712148,985000000,15568000000,2955000,46704000,0.1928122424712148,0,0,4528874039,6056672141,4783391813,2000293713,1174112501
2,16026485540,0.1867413435344639,985000000,16251000000,2955000,48753000,0.1867413435344639,-1.882133247296945,0.016173348534678302,4528874039,6056672141,4783391813,2000293713,1174112501
1,12565077832,0.18674134354690827,985000000,16251000000,2955000,48753000,0.18674134354690827,0,0,523874039,6056672141,4783391813,2000293713,1174112501
2,12798375838,0.1937402392887803,1102000000,16251000000,3306000,48753000,0.1937402392887803,-2.117403270538946,0.01862304421259235,523874039,6056672141,4783391813,2000293713,1174112501
2,13133367842,0.20401510776137868,1270000000,16251000000,3810000,48753000,0.20401510776137868,-2.8430417039779776,0.026253331223667725,523874039,6056672141,4783391813,2000293713,1174112501
2,13114275748,0.20342238173053664,1270000000,16298000000,3810000,48894000,0.20342238173053664,-0.44493017826746967,0.0014602058177523173,523874039,6056672141,4783391813,2000293713,1174112501
0,13246093450,0.2034223817096296,1270000000,16298000000,3810000,48894000,0.2034223817096296,0,0,523874039,6056672141,4783391813,2000293713,1320244179
2,14394637452,0.24022852107629403,1846000000,16298000000,5538000,48894000,0.24022852107629403,-8.255034427062695,0.08696903765238044,523874039,6056672141,4783391813,2000293713,1320244179
1,9203168548,0.24022852110606105,1846000000,16298000000,5538000,48894000,0.24022852110606105,0,0,523874039,760672141,4783391813,2000293713,1320244179
2,9528190552,0.25749611662301025,2009000000,16298000000,6027000,48894000,0.25749611662301025,-3.700928296887094,0.03542258280935702,523874039,760672141,4783391813,2000293713,1320244179
1,9047136718,0.2574961166261782,2009000000,16298000000,6027000,48894000,0.2574961166261782,0,0,49874039,760672141,4783391813,2000293713,1320244179
2,8860083392,0.24695850994520616,2009000000,16670000000,6027000,50010000,0.24695850994520616,-2.361338863341865,0.02117544110820373,49874039,760672141,4783391813,2000293713,1320244179
1,8670248798,0.2469585099960749,2009000000,16670000000,6027000,50010000,0.2469585099960749,0,0,49874039,760672141,4592391813,2000293713,1320244179
0,9193306922,0.2469585099914629,2009000000,16670000000,6027000,50010000,0.2469585099914629,0,0,49874039,760672141,5118661016,2000293713,1320244179
1,8947814016,0.24695851000693675,2009000000,16670000000,6027000,50010000,0.24695851000693675,0,0,49874039,760672141,5118661016,2000293713,1073244179
2,9747408020,0.2930679931808978,2410000000,16670000000,7230000,50010000,0.2930679931808978,-8.478535387019242,0.08963083034201501,49874039,760672141,5118661016,2000293713,1073244179
2,8941198414,0.24659346541932572,2410000000,18174000000,7230000,54522000,0.24659346541932572,-8.546201993514448,0.09043927592641604,49874039,760672141,5118661016,2000293713,1073244179
2,9760732420,0.29386977010829496,2821000000,18174000000,8463000,54522000,0.29386977010829496,-8.671045963150057,0.09193398490217197,49874039,760672141,5118661016,2000293713,1073244179
0,15766842780,0.2938697700808343,2821000000,18174000000,8463000,54522000,0.2938697700808343,0,0,5589569034,760672141,5118661016,2000293713,1073244179
0,15786825924,0.2938697700740306,2821000000,18174000000,8463000,54522000,0.2938697700740306,0,0,5589569034,760672141,5137092332,2000293713,1073244179
1,15151487576,0.2938697700847196,2821000000,18174000000,8463000,54522000,0.2938697700847196,0,0,5589569034,760672141,5137092332,2000293713,487244179
0,15966682318,0.29386977008076226,2821000000,18174000000,8463000,54522000,0.29386977008076226,0,0,5589569034,760672141,5137092332,2000293713,1239133498
0,19494882776,0.2938697700567998,2821000000,18174000000,8463000,54522000,0.2938697700567998,0,0,5589569034,4014883809,5137092332,2000293713,1239133498
1,16345295912,0.2938697700913686,2821000000,18174000000,8463000,54522000,0.2938697700913686,0,0,5589569034,4014883809,2232092332,2000293713,1239133498
2,16839807918,0.3119202750947178,3069000000,18174000000,9207000,54522000,0.3119202750947178,-3.2277558197479004,0.030345122087135697,5589569034,4014883809,2232092332,2000293713,1239133498
2,15325124896,0.25833151058577314,3069000000,20850000000,9207000,62550000,0.25833151058577314,-9.2676733792707,0.09913398777681531,5589569034,4014883809,2232092332,2000293713,1239133498
1,14521052464,0.2583315105947531,3069000000,20850000000,9207000,62550000,0.2583315105947531,0,0,5589569034,4014883809,2232092332,1209293713,1239133498
0,15979592172,0.2583315105815294,3069000000,20850000000,9207000,62550000,0.2583315105815294,0,0,5589569034,4014883809,2232092332,1209293713,2673960588
0,18367608654,0.25833151055599307,3069000000,20850000000,9207000,62550000,0.25833151055599307,0,0,5589569034,4014883809,4581284967,1209293713,2673960588
0,23133825022,0.258331510536361,3069000000,20850000000,9207000,62550000,0.258331510536361,0,0,5589569034,4014883809,4581284967,5898021983,2673960588
2,23536613028,0.2674055548269104,3271000000,20850000000,9813000,62550000,0.2674055548269104,-2.0061911592666757,0.017463605764105185,5589569034,4014883809,4581284967,5898021983,2673960588
0,23704008904,0.2674055548120009,3271000000,20850000000,9813000,62550000,0.2674055548120009,0,0,5589569034,4014883809,4743141243,5898021983,2673960588
0,24202452858,0.2674055548101274,3271000000,20850000000,9813000,62550000,0.2674055548101274,0,0,5589569034,4014883809,4743141243,5898021983,3155909631
0,24714267088,0.26740555478949835,3271000000,20850000000,9813000,62550000,0.26740555478949835,0,0,5589569034,4014883809,5238018102,5898021983,3155909631
0,25099865898,0.26740555478942957,3271000000,20850000000,9813000,62550000,0.26740555478942957,0,0,5589569034,4014883809,5238018102,6270860245,3155909631
2,22985562936,0.22425281902407324,3271000000,25180000000,9813000,75540000,0.22425281902407324,-8.698292090310641,0.0922607361285138,5589569034,4014883809,5238018102,6270860245,3155909631
1,19682054430,0.22425281903663308,3271000000,25180000000,9813000,75540000,0.22425281903663308,0,0,5589569034,4014883809,1750018102,6270860245,3155909631
0,19801805434,0.22425281902116828,3271000000,25180000000,9813000,75540000,0.22425281902116828,0,0,5589569034,4014883809,1750018102,6397298999,3155909631
2,19160992404,0.20997342418212658,3271000000,26661000000,9813000,79983000,0.20997342418212658,-3.52642584385247,0.033544256969629434,5589569034,4014883809,1750018102,6397298999,3155909631
0,19327291354,0.20997342416091722,3271000000,26661000000,9813000,79983000,0.20997342416091722,0,0,5589569034,4196342320,1750018102,6397298999,3155909631
2,20595475360,0.23843279174603801,3907000000,26661000000,11721000,79983000,0.23843279174603801,-6.439112695050053,0.06581367128491833,5589569034,4196342320,1750018102,6397298999,3155909631
1,19820061622,0.23843279176710258,3907000000,26661000000,11721000,79983000,0.23843279176710258,0,0,5589569034,4196342320,1750018102,5603298999,3155909631
2,19032085060,0.21985114060900027,3907000000,28387000000,11721000,85161000,0.21985114060900027,-4.263724264069095,0.041527115953385416,5589569034,4196342320,1750018102,5603298999,3155909631
1,17638565180,0.21985114061300925,3907000000,28387000000,11721000,85161000,0.21985114061300925,0,0,5589569034,4196342320,264018102,5603298999,3155909631
0,17674620766,0.21985114059981747,3907000000,28387000000,11721000,85161000,0.21985114059981747,0,0,5589569034,4196342320,264018102,5641747392,3155909631
1,16018526482,0.21985114062523173,3907000000,28387000000,11721000,85161000,0.21985114062523173,0,0,3823569034,4196342320,264018102,5641747392,3155909631
1,15899430234,0.21985114062803954,3907000000,28387000000,11721000,85161000,0.21985114062803954,0,0,3823569034,4196342320,137018102,5641747392,3155909631
