Action,TVL,Reserve Ratio,Swap Volume of A,Swap Volume of B,Fees collected for A,Fees collected for B,Spot Price,Slippage,LP1,LP2,LP3,LP4,LP5
1,4126143057652,1.4591727430545935,400468000000,488214000000,1201404000,1464642000,1.4591727430545935,0,130072930702,487905496702,604898367701,5864972384,479152305566
0,4924287057652,1.4591727430547965,400468000000,488214000000,1201404000,1464642000,1.4591727430547965,0,460440876747,487905496702,604898367701,5864972384,479152305566
2,5024034913658,1.5188863612543513,450492000000,488214000000,1351476000,1464642000,1.5188863612543513,-2.27945702996012,460440876747,487905496702,604898367701,5864972384,479152305566
2,4806106931120,1.389974532974617,450492000000,563432000000,1351476000,1690296000,1.389974532974617,-4.624695236026063,460440876747,487905496702,604898367701,5864972384,479152305566
0,4887558931120,1.3899745329746984,450492000000,563432000000,1351476000,1690296000,1.3899745329746984,0,460440876747,487905496702,639442026499,5864972384,479152305566
1,3883822415604,1.3899745329747184,450492000000,563432000000,1351476000,1690296000,1.3899745329747184,0,460440876747,487905496702,639442026499,5864972384,53469305566
0,4257114415604,1.389974532974895,450492000000,563432000000,1351476000,1690296000,1.389974532974895,0,460440876747,487905496702,639442026499,164177493627,53469305566
1,4244713990088,1.3899745329744075,450492000000,563432000000,1351476000,1690296000,1.3899745329744075,0,460440876747,487905496702,639442026499,164177493627,48210305566
1,2754835521810,1.389974532973366,450492000000,563432000000,1351476000,1690296000,1.389974532973366,0,460440876747,487905496702,7587026499,164177493627,48210305566
1,2753769731294,1.3899745329738165,450492000000,563432000000,1351476000,1690296000,1.3899745329738165,0,460440876747,487905496702,7135026499,164177493627,48210305566
2,2617499832536,1.2558128551051124,450492000000,615158000000,1351476000,1845474000,1.2558128551051124,-5.2336401474793615,460440876747,487905496702,7135026499,164177493627,48210305566
0,2934369832536,1.25581285510538,450492000000,615158000000,1351476000,1845474000,1.25581285510538,0,601821100933,487905496702,7135026499,164177493627,48210305566
0,3301549832536,1.2558128551056713,450492000000,615158000000,1351476000,1845474000,1.2558128551056713,0,601821100933,651732904524,7135026499,164177493627,48210305566
0,3795005832536,1.2558128551062155,450492000000,615158000000,1351476000,1845474000,1.2558128551062155,0,601821100933,651732904524,227303928275,164177493627,48210305566
1,2656308465230,1.2558128551061114,450492000000,615158000000,1351476000,1845474000,1.2558128551061114,0,601821100933,143671904524,227303928275,164177493627,48210305566
0,2752060465230,1.2558128551069663,450492000000,615158000000,1351476000,1845474000,1.2558128551069663,0,601821100933,143671904524,270026304095,164177493627,48210305566
0,4189412465230,1.2558128551076595,450492000000,615158000000,1351476000,1845474000,1.2558128551076595,0,601821100933,143671904524,270026304095,805491433079,48210305566
0,4521880465230,1.2558128551080645,450492000000,615158000000,1351476000,1845474000,1.2558128551080645,0,601821100933,292011603374,270026304095,805491433079,48210305566
0,4634068465230,1.2558128551082286,450492000000,615158000000,1351476000,1845474000,1.2558128551082286,0,651876848056,292011603374,270026304095,805491433079,48210305566
0,4642514465230,1.255812855108536,450492000000,615158000000,1351476000,1845474000,1.255812855108536,0,655645262148,292011603374,270026304095,805491433079,48210305566
0,5222278465230,1.2558128551085583,450492000000,615158000000,1351476000,1845474000,1.2558128551085583,0,655645262148,292011603374,270026304095,805491433079,306887884052
0,5320766465230,1.2558128551090182,450492000000,615158000000,1351476000,1845474000,1.2558128551090182,0,655645262148,292011603374,270026304095,805491433079,350831001165
2,5584313445236,1.3832991282655558,582662000000,615158000000,1747986000,1845474000,1.3832991282655558,-5.005257711470074,655645262148,292011603374,270026304095,805491433079,350831001165
1,4833867230816,1.3832991282659812,582662000000,615158000000,1747986000,1845474000,1.3832991282659812,0,655645262148,292011603374,270026304095,805491433079,31801001165
2,4546333578062,1.2236275988775713,582662000000,725994000000,1747986000,2177982000,1.2236275988775713,-6.230470120490758,655645262148,292011603374,270026304095,805491433079,31801001165
1,4520975576064,1.2236275988774188,582662000000,725994000000,1747986000,2177982000,1.2236275988774188,0,655645262148,292011603374,270026304095,805491433079,20339001165
2,4263173099648,1.0880550675886287,582662000000,838044000000,1747986000,2514132000,1.0880550675886287,-5.985256747370313,655645262148,292011603374,270026304095,805491433079,20339001165
0,4789047099648,1.0880550675886345,582662000000,838044000000,1747986000,2514132000,1.0880550675886345,0,655645262148,292011603374,270026304095,805491433079,272411963673
0,5603491099648,1.0880550675888936,582662000000,838044000000,1747986000,2514132000,1.0880550675888936,0,655645262148,292011603374,270026304095,805491433079,662808354971
2,5245309456856,0.9534012866848095,582662000000,1014410000000,1747986000,3043230000,0.9534012866848095,-6.672939503362448,655645262148,292011603374,270026304095,805491433079,662808354971
0,5419921456856,0.953401286684943,582662000000,1014410000000,1747986000,3043230000,0.953401286684943,0,655645262148,292011603374,270026304095,805491433079,752222499181
1,5219672784098,0.9534012866847313,582662000000,1014410000000,1747986000,3043230000,0.9534012866847313,0,655645262148,292011603374,167484304095,805491433079,752222499181
2,5164084671640,0.9332024833968717,582662000000,1043965000000,1747986000,3131895000,0.9332024833968717,-1.3617782049376914,655645262148,292011603374,167484304095,805491433079,752222499181
2,5630923939644,1.109554142352644,816784000000,1043965000000,2450352000,3131895000,1.109554142352644,-8.565761625984088,655645262148,292011603374,167484304095,805491433079,752222499181
1,4337357068862,1.1095541423528148,816784000000,1043965000000,2450352000,3131895000,1.1095541423528148,0,655645262148,292011603374,167484304095,805491433079,138199499181
0,5286049068862,1.1095541423531852,816784000000,1043965000000,2450352000,3131895000,1.1095541423531852,0,655645262148,292011603374,167484304095,805491433079,588519247678
0,6435407068862,1.1095541423532518,816784000000,1043965000000,2450352000,3131895000,1.1095541423532518,0,655645262148,837582352883,167484304095,805491433079,588519247678
2,6071308841576,0.9875545717433055,816784000000,1218402000000,2450352000,3655206000,0.9875545717433055,-5.940761006990296,655645262148,837582352883,167484304095,805491433079,588519247678
2,5893965694462,0.9307041708526994,816784000000,1311171000000,2450352000,3933513000,0.9307041708526994,-3.212240543858395,655645262148,837582352883,167484304095,805491433079,588519247678
2,5542348525042,0.8229702153384157,816784000000,1512658000000,2450352000,4537974000,0.8229702153384157,-6.247817412880855,655645262148,837582352883,167484304095,805491433079,588519247678
2,6026300301046,0.9729667337289158,1059488000000,1512658000000,3178464000,4537974000,0.9729667337289158,-8.30656947978757,655645262148,837582352883,167484304095,805491433079,588519247678
2,5490451451890,0.8076302258211443,1059488000000,1815811000000,3178464000,5447433000,0.8076302258211443,-9.16516230371156,655645262148,837582352883,167484304095,805491433079,588519247678
1,5464689819504,0.8076302258211058,1059488000000,1815811000000,3178464000,5447433000,0.8076302258211058,0,641312262148,837582352883,167484304095,805491433079,588519247678
0,5540975819504,0.8076302258213299,1059488000000,1815811000000,3178464000,5447433000,0.8076302258213299,0,641312262148,837582352883,167484304095,847934676644,588519247678
2,5702782937510,0.8554876363257461,1140635000000,1815811000000,3421905000,5447433000,0.8554876363257461,-3.1288240740494317,641312262148,837582352883,167484304095,847934676644,588519247678
2,5858624007516,0.9028826511821414,1218790000000,1815811000000,3656370000,5447433000,0.9028826511821414,-2.9520484432615315,641312262148,837582352883,167484304095,847934676644,588519247678
2,6396525447520,1.0762875542963513,1488550000000,1815811000000,4465650000,5447433000,1.0762875542963513,-8.684047559317317,641312262148,837582352883,167484304095,847934676644,588519247678
0,6439505447520,1.0762875542966237,1488550000000,1815811000000,4465650000,5447433000,1.0762875542966237,0,641312262148,837582352883,167484304095,868649071779,588519247678
2,6592180045526,1.127928081072507,1565117000000,1815811000000,4695351000,5447433000,1.127928081072507,-2.6090475854293302,641312262148,837582352883,167484304095,868649071779,588519247678
0,6600860045526,1.1279280810728325,1565117000000,1815811000000,4695351000,5447433000,1.1279280810728325,0,641312262148,837582352883,167484304095,872735548459,588519247678
0,6629070045526,1.1279280810730206,1565117000000,1815811000000,4695351000,5447433000,1.1279280810730206,0,641312262148,850863402095,167484304095,872735548459,588519247678
2,6991501479530,1.2546341396563039,1746878000000,1815811000000,5240634000,5447433000,1.2546341396563039,-5.468333879872856,641312262148,850863402095,167484304095,872735548459,588519247678
0,8083659479530,1.254634139656522,1746878000000,1815811000000,5240634000,5447433000,1.254634139656522,0,641312262148,850863402095,655009342503,872735548459,588519247678
0,8088827479530,1.2546341396565945,1746878000000,1815811000000,5240634000,5447433000,1.2546341396565945,0,641312262148,853170329662,655009342503,872735548459,588519247678
1,7710561461900,1.2546341396564493,1746878000000,1815811000000,5240634000,5447433000,1.2546341396564493,0,472459262148,853170329662,655009342503,872735548459,588519247678
2,7801579585904,1.284429230859145,1792524000000,1815811000000,5377572000,5447433000,1.284429230859145,-1.463162775070545,472459262148,853170329662,655009342503,872735548459,588519247678
0,7802347585904,1.2844292308594871,1792524000000,1815811000000,5377572000,5447433000,1.2844292308594871,0,472459262148,853509155198,655009342503,872735548459,588519247678
1,7315957799774,1.2844292308594605,1792524000000,1815811000000,5377572000,5447433000,1.2844292308594605,0,472459262148,638924155198,655009342503,872735548459,588519247678
2,7754137305778,1.4428951418799252,2012273000000,1815811000000,6036819000,5447433000,1.4428951418799252,-5.933959655856553,472459262148,638924155198,655009342503,872735548459,588519247678
2,7210661877106,1.247722651239627,2012273000000,2018943000000,6036819000,6056829000,1.247722651239627,-7.287817999673381,472459262148,638924155198,655009342503,872735548459,588519247678
0,7682973877106,1.2477226512396968,2012273000000,2018943000000,6036819000,6056829000,1.2477226512396968,0,472459262148,638924155198,655009342503,872735548459,799936271308
0,7683141877106,1.2477226512399924,2012273000000,2018943000000,6036819000,6056829000,1.2477226512399924,0,472459262148,638924155198,655084542921,872735548459,799936271308
1,6846122277752,1.2477226512402084,2012273000000,2018943000000,6036819000,6056829000,1.2477226512402084,0,97791262148,638924155198,655084542921,872735548459,799936271308
0,6868108277752,1.2477226512405608,2012273000000,2018943000000,6036819000,6056829000,1.2477226512405608,0,97791262148,638924155198,655084542921,872735548459,809777678431
0,6910850277752,1.2477226512405741,2012273000000,2018943000000,6036819000,6056829000,1.2477226512405741,0,116923501904,638924155198,655084542921,872735548459,809777678431
2,6573697620778,1.1289495577840845,2012273000000,2161407000000,6036819000,6484221000,1.1289495577840845,-5.163962978356702,116923501904,638924155198,655084542921,872735548459,809777678431
0,6580671620778,1.128949557784391,2012273000000,2161407000000,6036819000,6484221000,1.128949557784391,0,116923501904,638924155198,655084542921,872735548459,813059497834
0,6581691620778,1.128949557784653,2012273000000,2161407000000,6036819000,6484221000,1.128949557784653,0,116923501904,638924155198,655084542921,872735548459,813539488627
